pipeline,ROC AUC,PR AUC,AS,BA,PS,RS,F1S,TN,FP,FN,TP
Soft_Voting,0.6922382703547761,0.5877885905093203,0.6441774491682071,0.637692977313507,0.5525210084033614,0.6045977011494252,0.5773874862788144,434,213,172,263
pipeline_100,0.6969905310096112,0.5854270160007635,0.6524953789279113,0.6307129279255272,0.5750636132315522,0.5195402298850574,0.5458937198067633,480,167,209,226
pipeline_12,0.6695340119739203,0.5642084499266105,0.6155268022181146,0.6054504432482368,0.5205183585313174,0.5540229885057472,0.5367483296213809,425,222,194,241
pipeline_124,0.643266002238448,0.5443196960688543,0.6441774491682071,0.6241343779424045,0.5618811881188119,0.5218390804597701,0.5411203814064363,470,177,208,227
pipeline_24,0.6929808665991578,0.5857063435348926,0.6432532347504621,0.645959246033861,0.5466666666666666,0.6597701149425287,0.5979166666666667,409,238,148,287
pipeline_34,0.6975892270248183,0.5926296156957498,0.6478743068391867,0.6430439339835492,0.5557851239669421,0.6183908045977011,0.5854189336235037,432,215,166,269
pipeline_44,0.6948497930323864,0.5959214215562068,0.6524953789279113,0.6465312938584804,0.5618448637316562,0.6160919540229886,0.5877192982456141,438,209,167,268
pipeline_50,0.6741779033203645,0.5498120312625654,0.6340110905730129,0.6084776776990175,0.5517241379310345,0.4781609195402299,0.5123152709359606,478,169,227,208
pipeline_68,0.6835829380518397,0.5759896919955849,0.6358595194085028,0.6262182664463749,0.5444685466377439,0.5770114942528736,0.5602678571428571,437,210,184,251
pipeline_72,0.6912931478619269,0.5796548702186526,0.6414048059149723,0.6410240011369894,0.5461689587426326,0.6390804597701151,0.5889830508474576,416,231,157,278
pipeline_75,0.6898434862939473,0.581767878156224,0.6386321626617375,0.6379523530352289,0.5433070866141733,0.6344827586206897,0.5853658536585367,415,232,159,276
