pipeline,ROC AUC,PR AUC,AS,BA,PS,RS,F1S,TN,FP,FN,TP
Soft_Voting,0.8281070951107715,0.6810739940117028,0.7695822454308094,0.6667024764451235,0.7430830039525692,0.3949579831932773,0.5157750342935528,991,65,288,188
pipeline_100,0.8175611153552329,0.665663571994228,0.7591383812010444,0.6423955946014771,0.7535545023696683,0.3340336134453781,0.462882096069869,1004,52,317,159
pipeline_12,0.8942079672778203,0.7955378467921617,0.8015665796344648,0.7020188757321111,0.8495934959349594,0.4390756302521008,0.5789473684210527,1019,37,267,209
pipeline_124,0.7686449579831931,0.5933660871526554,0.7402088772845953,0.6171258276037688,0.695,0.2920168067226891,0.4112426035502959,995,61,337,139
pipeline_24,0.8184871960147694,0.6590837795233058,0.7558746736292428,0.6434897822765471,0.7236842105263158,0.3466386554621849,0.46875,993,63,311,165
pipeline_34,0.8033038499490706,0.6405068692412377,0.7428198433420365,0.6201736376368729,0.705,0.296218487394958,0.4171597633136095,997,59,335,141
pipeline_44,0.8694713680926915,0.7448383434038047,0.7741514360313316,0.6596320346320347,0.8095238095238095,0.35714285714285715,0.4956268221574344,1016,40,306,170
pipeline_50,0.7980915377514642,0.6317058836152281,0.7506527415143603,0.6322017443340973,0.7238095238095238,0.3193277310924369,0.4431486880466473,998,58,324,152
pipeline_68,0.7992901706137001,0.6282584049443433,0.7506527415143603,0.6345094856124268,0.7155963302752294,0.3277310924369748,0.4495677233429395,994,62,320,156
pipeline_72,0.7361485787496816,0.5737152185765606,0.7088772845953003,0.7040162655971479,0.5238853503184714,0.6911764705882353,0.5960144927536233,757,299,147,329
pipeline_75,0.857584511077158,0.7256716108432097,0.7728459530026109,0.658685064935065,0.8018867924528302,0.35714285714285715,0.494186046511628,1014,42,306,170
